"名前","住所","緯度","経度"
"リハプライド・西原","中頭郡西原町上原２丁目２２番地の１８",,
"デイサービスセンターいと","中頭郡西原町字小波津507番地の8",,
"社会福祉法人　希愛会　地域密着型介護老人福祉施設　琉和の森","沖縄市美里六丁目25-38",,
"特別養護老人ホーム　森城","沖縄市諸見里３丁目４１番３０号",,
"特別養護老人ホーム　ちゅらゆんたんざ","中頭郡読谷村座喜味２７４２－３",,
"地域密着型介護老人福祉施設　紅華の森","中頭郡読谷村座喜味１９１０番地２",,
"小規模ホーム　こすもす","宜野湾市嘉数４丁目４番10号",,
"小規模多機能　きずな","宜野湾市普天間２丁目３１番７号",,
"小規模多機能型居宅介護事業所　あいせい園","宜野湾市真志喜550番地",,
"小規模多機能ホーム若松ぎのわん","宜野湾市愛知二丁目３番２号",,
"小規模多機能型居宅介護事業所　きづきの家","沖縄市泡瀬１丁目21番15号",,
"小規模多機能型居宅介護　おきなわ長寿苑","沖縄市登川１４１５番地",,
"多機能介護ごえく","沖縄市越来3丁目11番20号",,
"小規模多機能ホームいきがいのまち","沖縄市諸見里２－１０－１０",,
"愛聖小規模多機能型オリオン","沖縄市古謝2丁目16番8号",,
"平愛の里","うるま市喜屋武626番地5",,
"地域支援ホーム津堅いこいの家","うるま市勝連津堅1144番地",,
"小規模多機能ホームゆい","うるま市赤道２４８番地２",,
"小規模多機能ホーム　石川にじの家","うるま市石川東山本町１丁目１９番１８号",,
"でいご園小規模多機能型居宅介護事業所","国頭郡宜野座村惣慶1316番地3でいご園デイサービスセンター2階",,
"株式会社　新がらまんの里","国頭郡宜野座村惣慶746番地の1",,
"小規模多機能ホーム　浜田","国頭郡金武町金武８１２８番地３号",,
"ハウス虹の里","国頭郡金武町金武790番地",,
"小規模多機能型居宅介護事業所　よみたん　ふれあいの里","中頭郡読谷村喜名2272番地4",,
"ライフケア読谷　介護多機能センター","中頭郡読谷村長浜1532番地",,
"ライフケア古堅　介護多機能センター","中頭郡読谷村字比謝242番地の1",,
"小規模多機能ホーム比謝川の里","中頭郡嘉手納町水釜6丁目16の1",,
"小規模多機能介護　ちゃたん","中頭郡北谷町宮城１番７９３",,
"小規模多機能ホーム若松　きたなかぐすく　","中頭郡北中城村字安谷屋1346番地-1",,
"小規模多機能型居宅介護いなほ","中頭郡中城村屋宜215番地18",,
"小規模多機能なかぐすく","中頭郡中城村奥間９１１番１",,
"居宅介護支援事業所ぎのわんおもと園","宜野湾市嘉数4丁目4番10号",,
"かいほう指定居宅介護支援事業所","宜野湾市真志喜２丁目２２番２号",,
"ケアプラン　はごろも","宜野湾市大謝名１丁目２０番２号",,
"在宅介護サービスきずな","宜野湾市普天間二丁目３１番７号",,
"居宅介護支援事業所ぎのわん","宜野湾市宜野湾３丁目４番３号",,
"居宅介護支援事業所　愛誠園","宜野湾市伊佐3-26-8",,
"サトウ株式会社","宜野湾市真志喜２丁目１３番１２号　２F",,
"ワタキュー居宅介護支援事業所","宜野湾市上原２丁目４番１０号",,
"介護支援センター　さんだん花","宜野湾市大山７丁目７番22号",,
"ケアプラン　うちどまり","宜野湾市宇地泊100番地ｲｻﾑﾋﾞﾙ1F",,
"ケアプラン　ぎのわん","宜野湾市大山６－２５－７パークサイドテラス１０１号",,
"居宅介護支援事業所みらい","宜野湾市野嵩一丁目44番3号　103号",,
"居宅介護支援事業所ふくやま","宜野湾市大謝名５－２１－５",,
"居宅介護支援事業所　まえはら","宜野湾市真栄原三丁目７番７号",,
"ふれあいケアマネジメント　宜野湾事業所","宜野湾市真栄原三丁目２０－１２",,
"福寿園居宅介護支援センター","宜野湾市赤道２－７－２",,
"ケアプラン　愛和","宜野湾市真栄原三丁目２０番１７号",,
"トータルサポートセンターよつ葉","宜野湾市長田四丁目14-18",,
"ケアプラン　てぃーだ","宜野湾市長田一丁目１番12号",,
"ケアプラン　あさ","宜野湾市佐真下95番地",,
"居宅介護支援事業所　美和","宜野湾市新城二丁目25番7号　1階",,
"指定居宅介護支援センター彩風の杜","宜野湾市上原1丁目8番5号1Ｆ",,
"ケアマネジメント ここ","宜野湾市普天間1丁目25-17　1F",,
"中部協同病院居宅介護支援事業所","沖縄市知花6-25-5",,
"医療法人浩然会　コザ整形外科医院　居宅介護支援センター","沖縄市美里１丁目26番33号",,
"東部クリニック介護支援センター","沖縄市与儀三丁目９番１号",,
"居宅介護支援事業所あゆみ","沖縄市高原７丁目２３番１４号",,
"居宅介護支援事業所　なかがみ","沖縄市知花6丁目25番15号2階",,
"中部徳洲会病院居宅介護支援事業所","沖縄市胡屋6丁目4番19号",,
"ケアプラン　もみの木","沖縄市美里1丁目3-2仲本アパート102号室",,
"一般社団法人中部地区医師会指定居宅介護支援事業所","沖縄市八重2丁目11番12号",,
"沖縄一条園居宅介護支援事業所","沖縄市字与儀3丁目5番10号",,
"緑樹苑指定居宅介護支援事業所","沖縄市胡屋７丁目２番10号",,
"介護支援センター中部","沖縄市住吉１丁目５番22号",,
"ニチイケアセンター沖縄","沖縄市久保田３丁目１番12号　プラザハウスフェアモール３Ｆ",,
"居宅介護支援事業所おきなわ長寿苑","沖縄市字登川1403番地",,
"ゆがふ居宅介護支援事業所","沖縄市園田二丁目19番６号",,
"真室川　指定居宅介護支援事業所","沖縄市室川１丁目1番１０号",,
"福樹会　居宅介護支援センター","沖縄市松本１－２２－２",,
"居宅介護支援ステーション　ニヘーデービル","沖縄市大里字大里５６番地",,
"ケアステーション　だるま","沖縄市美里仲原町３０番地１号コーポエルソール１０２",,
"指定居宅介護支援事業所　すずらん","沖縄市園田２丁目３２番１７号",,
"ケアプラン　三丁目","沖縄市松本３丁目７番２７号",,
"ケアプランセンター愛聖","沖縄市海邦１丁目１４番１５号",,
"指定居宅介護支援事業所しおひら","沖縄市園田二丁目１５番５号",,
"居宅介護支援事業所　オリーブ","沖縄市与儀一丁目29番19号",,
"沖縄ケアサポートセンター","沖縄市比屋根2-15-2",,
"JAおきなわ中部介護福祉センター居宅介護支援事業所","沖縄市仲宗根町14番15号",,
"居宅介護支援事業所ふれ愛","沖縄市胡屋七丁目５番３５号",,
"ケアプランセンターあい","沖縄市美原2丁目8番7号",,
"居宅介護支援事業所　シオン","沖縄市山内一丁目７番５号",,
"ケアプラン　しあわせ街角","沖縄市上地２丁目９番地５号１階１０２号",,
"スマイルプラン　元気のたね","沖縄市知花4-5-29",,
"居宅介護支援事業所　ケアプラン　みちしお","沖縄市字桃原２００番地１２",,
"ケアプランセンター美らさん","沖縄市高原六丁目２番２号２０５号室",,
"ケアープランステーション　木蓮","沖縄市高原五丁目２番２９号ニューライフ高原　３０１号",,
"ケアプラン高嶺　居宅介護支援事業所","沖縄市字池原５丁目３番２９号",,
"ケアプランセンター風雅","沖縄市東二丁目６番１１号",,
"ケアサービスくくる　指定居宅介護支援事業所","沖縄市南桃原二丁目１７番２８号",,
"あわせケアプラン　指定居宅介護支援事業所","沖縄市高原七丁目33番34号",,
"ケアプランセンターたいよう","沖縄市高原六丁目１５番６号ハートピアG 103号",,
"居宅介護支援事業所　松本","沖縄市松本5丁目3番2号",,
"ケアプランステーション　晴れ空","沖縄市南桃原三丁目33番36号",,
"ケアプランセンターしん","沖縄市高原五丁目5番17号花城アパート101",,
"ケアセンター北城","沖縄市山内2丁目25番41号",,
"ケアプラン沖縄","沖縄市安慶田四丁目２番１５号嘉手苅店舗１０２",,
"中部サンケアネット　居宅介護支援事業所","沖縄市知花二丁目10番5号",,
"居宅介護支援センター　琉和","沖縄市美里6-25-38",,
"ケアプランセンター　ワンスタイル","沖縄市胡屋五丁目１３番２号",,
"医療法人明陽会川根内科外科","うるま市みどり町４丁目２番29号１階",,
"うるま記念病院指定居宅介護支援事業所","うるま市昆布1832番地397",,
"与勝あやはしクリニック　居宅介護支援事業所","うるま市与那城屋慶名467番地の111",,
"与勝病院居宅介護支援事業所","うるま市勝連南風原3584番地",,
"あかみち薬局","うるま市字赤道１０番地の１０",,
"へしきや薬局居宅介護支援センター","うるま市与那城西原988番地の３（２Ｆ）",,
"願寿ぬ森居宅介護支援事業所","うるま市石川3273番地２",,
"居宅介護支援事業所いずみ福祉会","うるま市字栄野比１１５１番地１",,
"ケアプランセンターのぞみ","うるま市宮里８４２番地５",,
"楽寿園指定居宅介護支援事業所","うるま市石川嘉手苅961番地17",,
"デイサービスセンター輝指定居宅支援事業所","うるま市字赤野１４０７番地",,
"有限会社　在宅介護サービスひまわり　指定居宅介護支援事業所","うるま市具志川1345番地1",,
"居宅介護支援事業所　たばた","うるま市喜屋武１６０番地　",,
"介護支援平良川","うるま市喜屋武179番地（渡口ビル２０１号）",,
"かりゆし居宅介護支援事業所","うるま市兼箇段912番地13",,
"ケアプラン　うるまの里","うるま市字宇堅1322番地1",,
"居宅介護支援事業所　周","うるま市栄野比７５３番地の２",,
"具志川厚生園指定居宅介護支援事業所","うるま市字天願1983番地",,
"さくらケアステーション　居宅介護支援事業所","うるま市田場1927-2",,
"居宅介護支援事業所スイートホーム","うるま市川田４８１番地１",,
"ケアプラン　みのわ","うるま市字江洲６３６番地",,
"うるまケアセンター","うるま市みどり町五丁目14番7号",,
"よかつ　居宅介護支援事業所","うるま市勝連平安名1655番地１",,
"居宅介護事業所　みはら","うるま市みどり町３丁目１３番地１７号",,
"ケアサービスSYM","うるま市具志川２４３６番地",,
"指定居宅介護事業所　りっか","うるま市字具志川１３２１番地１",,
"居宅介護支援事業所カシータ","うるま市江洲135-3",,
"居宅介護支援事業所いっしんうるま","うるま市石川東恩納１３３－１",,
"居宅支援事業所　寿楽","うるま市字安慶名１０３２番地１　１Ｆ",,
"居宅介護支援センター　とよはら","うるま市字豊原２３４番地１",,
"居宅介護支援事業所 サンライズ","うるま市石川東恩納１５０８番地１",,
"ケアプランステーション　みどり町","うるま市みどり町五丁目２７番３号志堅原アパート１階",,
"あい・ゆう居宅介護支援事業所","うるま市勝連平敷屋４３０番地２１０２号室",,
"居宅介護支援事業所　琉美","うるま市上江洲３３９－１",,
"イリーゼうるま居宅介護支援事業所","うるま市喜屋武５４６－１",,
"ケアプラン　はぴねす","うるま市みどり町六丁目７番１号",,
"居宅介護支援事業所　エーアンドエス","うるま市字大田２７６番地８",,
"指定居宅介護支援事業所　千家","うるま市勝連南風原4090番地",,
"居宅介護支援事業所陽光館","うるま市字宮里265番地4",,
"居宅介護支援事業所島の風","うるま市みどり町2-7-131F",,
"指定居宅介護支援事業所あやはし苑","うるま市与那城屋慶名1410番地",,
"うるま市社協指定居宅介護支援事業所","うるま市与那城屋慶名１０９８番地",,
"居宅介護支援事業所与勝の里","うるま市勝連南風原4908番地",,
"ひまわり居宅介護支援事業所","国頭郡恩納村字名嘉真２６０５番地",,
"谷茶の丘指定居宅介護支援事業所","国頭郡恩納村字谷茶1919番地7",,
"社会福祉法人恩納村社会福祉協議会指定居宅介護支援事業所","国頭郡恩納村恩納6302番地",,
"居宅介護支援事業所　山田","国頭郡恩納村山田1010番地",,
"看護小規模多機能型居宅介護事業所 ナーシングケアハウス ぷくじ","国頭郡恩納村字恩納２８５８番地の３",,
"ケアプランセンター ぎのざ桑の実","国頭郡宜野座村字惣慶１８９４－４",,
"宜野座村居宅介護支援ステーション","国頭郡宜野座村字惣慶1898番地　（宜野座村地域福祉センター内）",,
"でいご園居宅介護支援事業所","国頭郡宜野座村字惣慶1295番地",,
"愛安　居宅介護支援事業所","国頭郡宜野座村字漢那１８４３番地の１１",,
"居宅介護支援事業所　かけはし","国頭郡宜野座村漢那1953番地1",,
"金武居宅介護支援事業所","国頭郡金武町金武94番地",,
"ケアマネジメント信愛の丘","国頭郡金武町字屋嘉2724番地",,
"光が丘居宅介護支援事業所","国頭郡金武町字伊芸1292番地の1",,
"居宅介護支援事業所　くばの里","国頭郡金武町金武４１９６－２８番地",,
"ケアプランスマイル","国頭郡金武町字金武７９０６番地",,
"ケアプラン　アシスト","国頭郡金武町字金武３８９番地　１０１号室",,
"ケアプランひらめき","国頭郡金武町字伊芸９５番地",,
"読谷村診療所指定居宅介護支援事業所","中頭郡読谷村都屋179番地　読谷村診療所内",,
"ライフケア読谷　介護支援センター","中頭郡読谷村長浜１５７６番地",,
"よみたんクリニック　居宅介護支援事業所","中頭郡読谷村長浜1774番地",,
"ケアプラン　花織","中頭郡読谷村喜名497番地の14",,
"読谷の里指定居宅介護支援事業所","中頭郡読谷村字座喜味1875番地の1",,
"読谷村社会福祉協議会　居宅介護支援事業所","中頭郡読谷村都屋167番地の２",,
"ケアプランたんぽぽ","中頭郡読谷村字古堅587番地",,
"ヴィラージュせなは居宅介護支援事業所","中頭郡読谷村長浜1110番地",,
"ケアプランセンター　あかり","中頭郡読谷村古堅629番地",,
"ケアプラン　しおん","中頭郡読谷村楚辺2063番地１",,
"ケアプラン健やか","中頭郡読谷村字高志保９２番地",,
"ケアプラン　活きる家","中頭郡読谷村字楚辺２２００番１",,
"指定居宅介護支援事業所　ちゅらゆんたんざ","中頭郡読谷村字座喜味２７４２番地３",,
"ケアプランななふく","中頭郡読谷村字長浜１１９４番地",,
"居宅介護支援事業所　まゆの里おおわん","中頭郡読谷村字大湾６６９－２",,
"相談支援事業所　鳳凰","中頭郡読谷村字都屋４０３番地２",,
"ケアサポート　バニアン　指定居宅介護支援事業所","中頭郡読谷村字大湾３８３番地",,
"夢咲デイサービスセンター 喜名","中頭郡読谷村字喜名２３４５番地５１",,
"居宅介護支援事業所　ケアサポート　浜音","中頭郡読谷村字長浜１６５番地",,
"介護の窓口晴れ晴れ","中頭郡読谷村伊良皆２６７－５",,
"居宅介護支援事業所　読谷","中頭郡読谷村楚辺1300番地",,
"ケアプラン　きらめき","中頭郡読谷村渡具知３７番地の１",,
"聖隷居宅介護支援センターゆい","中頭郡嘉手納町字嘉手納２７０－１９２F南",,
"ケアマネジメント比謝川の里","中頭郡嘉手納町字久得242番地の2",,
"ケアプランカデナ","中頭郡嘉手納町嘉手納300番地",,
"徳洲会ハンビークリニック　居宅介護支援事業所","中頭郡北谷町北前１丁目21番１号",,
"北谷町社会福祉協議会居宅介護支援事業所","中頭郡北谷町吉原26番地６",,
"白川園指定居宅介護支援事業所","中頭郡北谷町字吉原263番地　",,
"琉球メディカルズ指定居宅介護支援事業所","中頭郡北谷町字桑江400番地の2",,
"居宅介護支援事業所　なごみ","中頭郡北谷町吉原1178番地",,
"ケアプランステーション　まほろば","中頭郡北谷町吉原790-15",,
"ケアプランステーション　ゆい","中頭郡北中城村字喜舎場３６０番地１",,
"居宅介護支援事業所　愛の村","中頭郡北中城村袋1394番地",,
"ケアプランセンターふくとく","中頭郡北中城村字仲順375番地の1",,
"居宅介護支援事業所　敬福","中頭郡北中城村安谷屋２１４４番地１３金城貸店舗１階",,
"在宅介護サービスセンター中城","中頭郡中城村字奥間909番地1",,
"居宅介護支援事業所愛誠園東センター","中頭郡中城村字当間289番地１",,
"いなほ居宅介護支援事業所","中頭郡中城村字添石363番地",,
"居宅介護支援事業所　みずほ","中頭郡中城村安里268-4　ｺｰﾎﾟ金永（壱階事務所）",,
"なかぐすく日の出園居宅介護支援事業所","中頭郡中城村伊舎堂３６２番地",,
"ケアプランふたふぁ","中頭郡中城村字南上原732番地",,
"居宅介護支援事業所みなみ","中頭郡中城村字南上原９６５番地２",,
"すずらんケアプランセンター","中頭郡中城村伊舎堂130番地１",,
"中部介護ケア相談所　しまごころ","中頭郡中城村南上原７７１－１アーバンパレット南上原１階",,
"ロータス居宅介護支援事業所","中頭郡中城村南上原６８４番地６　カサデピノ２Ｆ",,
"居宅支援センター幸地","中頭郡西原町幸地973番地",,
"ケアプランセンター西原敬愛園","中頭郡西原町字徳佐田159番地の1",,
"居宅介護支援事業所守礼の里","中頭郡西原町字掛保久346番地",,
"なごみ居宅介護支援事業所","中頭郡西原町池田７５７番",,
"居宅介護支援事業所　盛楽","中頭郡西原町上原1丁目11番地の4",,
"介護計画相談所さとうきび","中頭郡西原町字翁長393",,
"ウェルビーイング","中頭郡西原町安室３１４番地１",,
"ケアプランセンター　はーとらいふ","中頭郡西原町小那覇1606番地",,
"ケアプランステーション　きずな","中頭郡西原町池田371番地の21池田ハイツA-24",,
"介護支援センター　朝貴","中頭郡西原町上原2丁目9番地の1",,
"居宅介護支援事業所　さねり","中頭郡西原町小橋川37番地",,
"介護老人保健施設ぎのわんおもと園","宜野湾市嘉数四丁目４番10号",,
"介護老人保健施設亀の里","沖縄市比屋根2丁目15-2",,
"おきなわ徳洲苑","沖縄市胡屋6丁目4番19号",,
"介護老人保健施設いしかわ願寿ぬ森","うるま市石川3273-2",,
"介護老人保健施設陽光館","うるま市字上江洲661",,
"介護老人保健施設いずみ苑","うるま市字栄野比1150",,
"介護老人保健施設信愛の丘","国頭郡金武町字屋嘉2724",,
"介護老人保健施設白川園","中頭郡北谷町字吉原263番地",,
"介護老人保健施設若松苑","中頭郡北中城村字大城327番地",,
"介護老人保健施設信成苑","中頭郡中城村字添石363",,
"介護老人保健施設中城苑","中頭郡中城村字奥間909-1",,
"介護老人保健施設池田苑","中頭郡西原町字池田757",,
"介護老人保健施設西原敬愛園","中頭郡西原町字徳佐田159-1",,
"介護老人福祉施設　愛誠園","宜野湾市大山３丁目31番１号",,
"特別養護老人ホーム　白浜の里愛誠園","宜野湾市宇地泊８５７番地",,
"特別養護老人ホーム福寿園","宜野湾市赤道２－７－２",,
"介護老人福祉施設　沖縄一条園","沖縄市与儀3丁目5番10号",,
"介護老人福祉施設　緑樹苑","沖縄市胡屋７丁目２番10号",,
"特別養護老人ホーム　おきなわ長寿苑","沖縄市字登川1403番地",,
"特別養護老人ホーム　知花の里","沖縄市知花５丁目23番16号",,
"介護老人福祉施設　楽寿園","うるま市石川嘉手苅961番地17",,
"介護老人福祉施設　平和の村","うるま市昆布1832番地637",,
"介護老人福祉施設　具志川厚生園","うるま市天願1983番地",,
"うるま市地域包括支援センターよなしろ","うるま市与那城屋慶名1410番地",,
"介護老人福祉施設　与勝の里","うるま市勝連南風原4902番地",,
"介護老人福祉施設　谷茶の丘.雅","国頭郡恩納村谷茶1919番地７",,
"介護老人福祉施設　でいご園","国頭郡宜野座村字惣慶1295番地",,
"介護老人福祉施設　光が丘","国頭郡金武町伊芸１２９２番地１号",,
"介護老人福祉施設　読谷の里","中頭郡読谷村座喜味1875番地の１",,
"介護老人福祉施設　比謝川の里","中頭郡嘉手納町久得242番地の２",,
"介護老人福祉施設　陽明園","中頭郡北谷町吉原265番地",,
"介護老人福祉施設　愛の村","中頭郡北中城村袋１３９３番地",,
"介護老人福祉施設　春華園","中頭郡中城村添石363番地",,
"介護老人福祉施設　守礼の里","中頭郡西原町字掛保久３４６番地",,
"宅老所ゆうゆう館","宜野湾市新城2丁目40番27号",,
"医療法人 心和会　住宅型有料老人ホームなごみ","沖縄市園田2-15-5",,
"医療法人仁誠会名嘉病院","中頭郡嘉手納町嘉手納258番地",,
"宜野湾市地域包括支援センター　かいほう","宜野湾市真志喜2丁目22番2号",,
"宜野湾市地域包括支援センター　ぎのわん","宜野湾市宜野湾３丁目３番１３号",,
"宜野湾市地域包括支援センターふてんま","宜野湾市普天間１－９－３",,
"宜野湾市地域包括支援センターふれあい","宜野湾市真栄原三丁目２０番１２号　１階",,
"沖縄市基幹型地域包括支援センター","沖縄市仲宗根町２６番地１号",,
"沖縄市地域包括支援センター西部南","沖縄市南桃原1丁目9番3号",,
"沖縄市地域包括支援センター西部北","沖縄市胡屋7丁目2番10号",,
"沖縄市地域包括支援センター中部南","沖縄市照屋2丁目22番30号コーポ上原106号 ",,
"沖縄市地域包括支援センター東部北","沖縄市海邦1丁目15番26号",,
"沖縄市地域包括支援センター中部北","沖縄市美原2丁目3番1号",,
"沖縄市地域包括支援センター東部南","沖縄市高原1丁目1番38号",,
"沖縄市地域包括支援センター北部","沖縄市登川1402番地",,
"うるま市地域包括支援センターよなしろ","うるま市与那城屋慶名１４１０番地",,
"うるま市地域包括支援センターかつれん","うるま市勝連南風原４５６９番地１グランシャリオ　１階左",,
"うるま市地域包括支援センターいしかわ","うるま市石川白浜２丁目３番５号石川ビル",,
"うるま市地域包括支援センター具志川北","うるま市栄野比４６２番地",,
"うるま市地域包括支援センター具志川ひがし","うるま市宮里２６５番地４",,
"恩納村地域包括支援センター","国頭郡恩納村字恩納２４５１",,
"宜野座村地域包括支援センター","国頭郡宜野座村宜野座２９６番地",,
"金武町地域包括支援センター","国頭郡金武町金武１８４２番地",,
"読谷村地域包括支援センター","中頭郡読谷村字座喜味２９０１",,
"嘉手納町地域包括支援センター","中頭郡嘉手納町字嘉手納588番地",,
"北谷町地域包括支援センター","中頭郡北谷町桑江２２６番地",,
"北中城村指定介護予防支援事業所","中頭郡北中城村字喜舎場426番地2",,
"中城村地域包括支援センター","中頭郡中城村字当間176番地",,
"西原町地域包括支援センター","中頭郡西原町徳佐田159-1",,
"那覇内視鏡クリニック","島尻郡南風原町字新川２１７ー４　２階",,
"沖縄県健康づくり財団","島尻郡南風原町字宮平２１２番地",,
"oneハート南風原薬局","島尻郡南風原町照屋３６２",,
"訪問看護ステーション縁","南城市大里大城２００５番地１",,
"訪問看護ステーション　ベストかねぐすく","島尻郡南風原町字兼城２６５-１０",,
"松原クリニック","国頭郡金武町字金武4231番地",,
"軽費老人ホームおなが園","豊見城市翁長141",,
"有料老人ホーム　美和 (住宅型)","うるま市字喜屋武672番地",,
"住宅型有料老人ホームうるま荘","うるま市字宇堅1322番地1",,
"あっとほーむ　きむたかの丘","うるま市勝連南風原3601番地2",,
"有料老人ホーム「川田ホーム」　Ｂ棟","うるま市字川田431番地",,
"住宅型有料老人ホーム　東恩納","うるま市石川東恩納663番地2",,
"かりゆしホーム兼箇段","うるま市兼箇段912番地13　2階",,
"ゆがふ宅老所","うるま市天願1508番地1",,
"宅老所あかみち","うるま市字赤道12番地16　2階",,
"住宅型有料老人ホームよかつの家","うるま市勝連平安名1655番地1",,
"有料老人ホームとぅもも","うるま市勝連南風原4022番地1",,
"住宅型有料老人ホーム家","うるま市字川田481番地１　2階",,
"住宅型有料老人ホーム　おきなわ長寿苑","うるま市江洲1370番地1",,
"有料老人ホーム　千家","うるま市勝連南風原4090番地　2階",,
"住宅型有料老人ホーム　へいあい","うるま市喜屋武626番地8",,
"有料老人ホームのぼたん苑","うるま市字栄野比1151番地1　2階、3階",,
"有料老人ホームさくら館","うるま市昆布1835番地55",,
"有料老人ホーム　大育の杜　結（むすび）","うるま市石川2284番地1",,
"有料老人ホームみのわ","うるま市字江洲636番地",,
"住宅型有料老人ホーム　みつば","うるま市勝連平敷屋75番地1",,
"イリーゼうるま","うるま市字喜屋武546番地1",,
"住宅型有料老人ホーム　しげちゃんの家","うるま市字川崎67番地1",,
"住宅型有料老人ホーム　琉美ハウス","うるま市塩屋75番地1　１階",,
"住宅型有料老人ホーム　おもろの郷","うるま市安慶名3丁目4番23",,
"有料老人ホーム　ＳＹＭシルバーハウス　縁（ゆかり）","うるま市具志川2436番地",,
"シルバーハウスアイリー　赤道","うるま市字赤道171番地6",,
"あい・ゆう　ホーム","うるま市与那城字饒辺239番地2",,
"がんじゅう御庭","うるま市石川東恩納972番地1",,
"宅老所さくら","うるま市みどり町1丁目3番23　1階",,
"有料老人ホーム　プライムガーデンうるま","うるま市字前原260番地5",,
"有料老人ホーム川田ホームＡ棟","うるま市字川田431番地",,
"住宅型有料老人ホーム　つばさ苑","うるま市字上江洲156番地1",,
"生協美里ハウス","沖縄市字美里2丁目27番20",,
"しーさー家","沖縄市照屋5丁目7番21",,
"宅老所　ももの園","沖縄市桃原1丁目4番46",,
"宅老所　美桃","沖縄市桃原1丁目16番6",,
"風雅の舎・Ⅱ","沖縄市海邦2丁目27番1　1階",,
"有料老人ホーム福乃ホーム","沖縄市字登川742番地　2階",,
"シルバーハウス　ゆい花","沖縄市園田2丁目32番17",,
"さくら荘","沖縄市久保田1丁目10番5　4階",,
"宅老所　エデンの園","沖縄市仲宗根町13番地18　２階、３階",,
"有料老人ホーム海の家","沖縄市泡瀬1丁目31番17",,
"有料老人ホームあかり","沖縄市美里4丁目2番5　１階",,
"シルバーホーム美浦の郷","沖縄市古謝三丁目12番20号",,
"有料老人ホーム　くしばる","沖縄市池原3丁目3番8",,
"住宅型有料老人ホーム　ハウス竹園","沖縄市諸見里3丁目41番36　２階",,
"愛聖有料老人ホーム　シンフォニー","沖縄市海邦1丁目15番25　2階～4階",,
"有料老人ホームにへでほーむ","沖縄市大里98番地1　2階～4階",,
"有料老人ホーム　ハウス山里","沖縄市山里1丁目4番15　3階",,
"高齢者共同住宅　「生活家うなり」","沖縄市央2丁目17番26　宮秀店舗　１階",,
"住宅型有料老人ホーム　ティーダ","沖縄市胡屋1丁目5番6",,
"住宅型有料老人ホーム　アイホーム","沖縄市池原5丁目3番29",,
"共同はうす　小梅","沖縄市古謝213番地3",,
"共同はうす　竹宅","沖縄市古謝214番地16",,
"シニアハウスめだかの杜　高原ハウス","沖縄市高原4丁目12番3　1階",,
"シニアハウスめだかの杜　泡瀬ハウス","沖縄市泡瀬4丁目9番19　長田ハウスA　3号室",,
"有料老人ホームしあわせ街角","沖縄市上地2丁目9番5　みやす商事ビル1階",,
"有料老人ホーム　サンライズいさ","沖縄市与儀1丁目29番19　２階、３階",,
"住宅型有料老人ホームふれ愛・高原","沖縄市高原2丁目3番7　1階～3階",,
"住宅型有料老人ホームちむわざ","沖縄市泡瀬3丁目26番5　2階",,
"わくわくホーム　沖縄","沖縄市胡屋6丁目11番7",,
"シルバーホーム　りんご","沖縄市与儀3丁目3番2　3階",,
"ナーシングホーム　沖縄美里","沖縄市美里2丁目28番5",,
"シニアハウスめだかの杜　オーシャンビュー与儀　","沖縄市与儀2丁目5番3　糸数ハウス",,
"有料老人ホーム　結いの郷　ライカム","沖縄市比屋根7丁目28番30号",,
"宅老所うさぎ","沖縄市高原4丁目28番1　２階",,
"宅老所すみれ","沖縄市室川1丁目5番5",,
"宅老所チューリップ","沖縄市室川1丁目5番3",,
"宅老所ひまわり","沖縄市室川1丁目2番17",,
"宅老所さくら","沖縄市室川1丁目5番4",,
"宅老所でいご","沖縄市室川1丁目5番2",,
"有料老人ホーム　千夢心","沖縄市松本930番地",,
"有料老人ホーム　のぞみ","沖縄市大里2丁目28番35",,
"住宅型有料老人ホーム　シルバーハウス歩","沖縄市海邦2丁目26番30",,
"有料老人ホーム　コザ苑","沖縄市知花6丁目15番5",,
"ハウス　桃園","沖縄市山里1丁目9番3",,
"宅老所　さくら","沖縄市古謝214番地43",,
"シニアハウスエール","沖縄市海邦1丁目5番3",,
"シニアハウスめだかの杜　胡屋テラス","沖縄市胡屋7丁目4番51",,
"シニアハウスめだかの杜　高原プルメリア","沖縄市高原1丁目3番11",,
"ケアハウス中央荘","沖縄市央1丁目34番17 1階",,
"宅老所花の里","沖縄市大里108番地",,
"ケアハウスくくる","沖縄市山里3丁目12番18",,
"シルバーハウス縁(ゆかり)","沖縄市美里3丁目17番8",,
"いちゃりばちょうでぃー池原","沖縄市池原2丁目20番４",,
"住宅型有料老人ホーム　エルスリー沖縄","沖縄市高原7丁目15番14",,
"有料老人ホーム　さつき","沖縄市照屋2丁目11番9",,
"有料老人ホーム　北中荘 laule`a hale ～ﾗｳﾚｱ　ﾊﾚ～","沖縄市南桃原1-25-7　ナカモトハウス511",,
"有料老人ホーム　おはよう","沖縄市宮里一丁目3番11　１階",,
"有料老人ホームノリア館","沖縄市高原五丁目2番5",,
"ケアハウスくくる","沖縄市南桃原2丁目17番地28",,
"シニアライフサポート福ら舎","国頭郡恩納村字名嘉真2288番地24",,
"有料老人ホームたんぽぽ","国頭郡恩納村恩納6121番地",,
"恩納宅老所","国頭郡恩納村字恩納2447番地 1階、3階",,
"住宅型有料老人ホームサンハート","中頭郡嘉手納町屋良1丁目21番1",,
